Question	Answer	ArticleFile
Avogadro did not actually use what word?	atom	data/set4/a8

Avogadro did not actually use what word?	atom	data/set4/a8

The number of elementary entities in 1 mole of a substance is known as what?	Avogadro constant	data/set4/a8

The number of elementary entities in 1 mole of a substance is known as what?	Avogadro's constant	data/set4/a8

What would a German call Avogadro's number?	Loschmidt number	data/set4/a8

What would a German call Avogadro's number?	Loschmidt number	data/set4/a8

Is Amedeo Avogadro Italian?	Yes	data/set4/a8

Is Amedeo Avogadro Italian?	yes	data/set4/a8

Did he become a professor before the revolutionary movements against the king of Sardinia?	Yes	data/set4/a8

Did he become a professor before the revolutionary movements against the king of Sardinia?	yes	data/set4/a8

Do ants belong to the Hymenoptera order?	yes	data/set1/a1

Do ants belong to the Hymenoptera order?	yes	data/set1/a1

Are ants used in cuisine?	yes	data/set1/a1

Are ants used in cuisine?	yes	data/set1/a1

Does an ant's head contain sensory organs?	yes	data/set1/a1

Does an ant's head contain sensory organs?	yes	data/set1/a1

How do most ants travel?	most ants travel by walking	data/set1/a1

How do most ants travel?	by walking	data/set1/a1

In ant colonies, what are the fertile female ants called?	"queens"	data/set1/a1

In ant colonies, what are the fertile female ants called?	queens	data/set1/a1

Who wrote about ants in A Tramp Abroad?	mark twain wrote about ants	data/set1/a1

Who wrote about ants in A Tramp Abroad?	Mark Twain	data/set1/a1

Do the ants eat plants, meats, or both?	both	data/set1/a1

What organs gives a bull ant its good sight?	compound eyes	data/set1/a1

What may happen to red fire ants if we use boiling water on the queen?	nests of red fire ants may be destroyed	data/set1/a1

What may happen to red fire ants if we use boiling water on the queen?	die	data/set1/a1

Are ants found in Antartica?	No, there are no ants in antarctica.	data/set1/a1

Are ants found in Antartica?	NULL	data/set1/a1

Do male ants take flight before females?	Yes, male ants take flight before females.	data/set1/a1

Do male ants take flight before females?	NULL	data/set1/a1

Do worker ants have wings?	No, worker ants do not have wings.	data/set1/a1

Do worker ants have wings?	NULL	data/set1/a1

What are the three segments of an ant?	The head, mesosoma and metasoma are the three distinct body segments.	data/set1/a1

What are the three segments of an ant?	NULL	data/set1/a1

What are the ant colonies that lack queens called?	Colonies that lack queens are called gamergate colonies.	data/set1/a1

What are the ant colonies that lack queens called?	NULL	data/set1/a1

Where are bullet ants located?	Bullet ants are located in Central and South America.	data/set1/a1

Where are bullet ants located?	NULL	data/set1/a1

Do ants belong to the same order as bees?	Yes, ants belong to the same order as bees.	data/set1/a1

Do ants belong to the same order as bees?	NULL	data/set1/a1

What is the most common color of ants?	Most ants are red or black.	data/set1/a1

What is the most common color of ants?	NULL	data/set1/a1

Do all ants build nests?	No, not all ants build nests.	data/set1/a1

Do all ants build nests?	NULL	data/set1/a1

Ultraviolet vision was first discovered in ants by Sir who in 1881?	John Lubbok	data/set1/a1

Do ants thrive in most ecosystems?	Yes.	data/set1/a1

Are several species of ants able to use the Earths magnetic field?	yes	data/set1/a1

Are termites actually more closely related to cockroaches as well as mantids?	Yes, termites are actually more closely related to cockroaches as well as mantids.	data/set1/a1

Do some caterpillars produce vibrations as well as sounds?	yes	data/set1/a1

Did ants evolve from wasp-like ancestors in the mid-Cretaceous period between 110 and 130 million years ago and diversified after the rise of flowering plants?	yes	data/set1/a1

Is the ant a marsupial?	no	data/set1/a1

Are they easily identified by their elbowed antennae and a distinctive node-like structure that forms a slender waist?	Yes, they are easily identified by their elbowed antennae and a distinctive node-like structure that forms a slender waist.	data/set1/a1

Is Antwerp a city?	Yes	data/set3/a4

Is Antwerp a city?	NULL	data/set3/a4

Is Antwerp a municipality?	Yes	data/set3/a4

Is Antwerp a municipality?	NULL	data/set3/a4

Is Antwerp in Belgium?	Yes	data/set3/a4

Is Antwerp in Belgium?	NULL	data/set3/a4

What is Antwerp?	Antwerp is a city and municipality in Belgium.	data/set3/a4

What is Antwerp?	NULL	data/set3/a4

What is the population of the city of Antwerp?	Antwerp's population is 472,071.	data/set3/a4

What is the population of the city of Antwerp?	NULL	data/set3/a4

Where is the city of Antwerp?	Antwerp is in Belgium	data/set3/a4

Where is the city of Antwerp?	NULL	data/set3/a4

Why is Antwerp important to fashion?	Yes	data/set3/a4

Why is Antwerp important to fashion?	NULL	data/set3/a4

Antwerp is to the east of what river?	Antwerp is to the east of the Scheldt river	data/set3/a4

Antwerp is to the east of what river?	NULL	data/set3/a4

How many municipalities does Antwerp have?	None, Antwerp is a municipality.	data/set3/a4

How many municipalities does Antwerp have?	NULL	data/set3/a4

Is Arabic a Central Semitic language?	Yes	data/set5/a3

Is Arabic a Central Semitic language?	NULL	data/set5/a3

Was Arabic a major vehicle of culture in Europe?	Yes	data/set5/a3

Was Arabic a major vehicle of culture in Europe?	NULL	data/set5/a3

Is Arabic classified alongside Semitic languages?	Yes	data/set5/a3

Is Arabic classified alongside Semitic languages?	NULL	data/set5/a3

How many people speak the Arabic language?	280 million people.	data/set5/a3

How many people speak the Arabic language?	NULL	data/set5/a3

When was Arabic calligraphy invented?	Many styles were developed after 786.	data/set5/a3

When was Arabic calligraphy invented?	NULL	data/set5/a3

Where is Arabic spoken?	The Middle East and North Africa	data/set5/a3

Where is Arabic spoken?	NULL	data/set5/a3

Why is Arabic related to Islam?	Arabic is the liturgical language of Islam	data/set5/a3

Why is Arabic related to Islam?	NULL	data/set5/a3

Why does Arabic heavily influence European languages?	Arabic was a major vehicle of culture in Europe, and the Arab and European civilizations are geographically close.	data/set5/a3

Why does Arabic heavily influence European languages?	NULL	data/set5/a3

How do you say "black" in Arabic?	NULL	data/set5/a3

Is Arabic the largest member of the Semitic language family?	yes	data/set5/a3

Is Arabic the largest member of the Semitic language family?	yes	data/set5/a3

Does Modern Standard Arabic continue to evolve like other languages?	yes	data/set5/a3

Does Modern Standard Arabic continue to evolve like other languages?	yes	data/set5/a3

Is Hassaniya Arabic spoken in Mauritania?	yes	data/set5/a3

Is Hassaniya Arabic spoken in Mauritania?	Yes	data/set5/a3

What is the only variety of modern Arabic that has acquired official language status?	maltese	data/set5/a3

What is the only variety of modern Arabic that has acquired official language status?	Maltese	data/set5/a3

Egyptian Arabic is spoken by how many in Egypt?	76 million	data/set5/a3

Egyptian Arabic is spoken by how many in Egypt?	76 million	data/set5/a3

Where are the Western Arabic numerals used?	North Africa	data/set5/a3

Where are the Western Arabic numerals used?	present-day North Africa	data/set5/a3

The most active Academies of Arabic Language are found where?	damascus and cairo	data/set5/a3

Hassan Massoudy is a master of what genre?	Hassan Massoudy	data/set5/a3

Hassan Massoudy is a master of what genre?	Arabic calligraphy	data/set5/a3

Is Berlin the capital city of Germany?	Berlin is the capital city of Germany.	data/set3/a1

Is Berlin the capital city of Germany?	yes	data/set3/a1

Is Berlin the largest city in Germany?	Berlin is Germany's largest city.	data/set3/a1

Is Berlin the largest city in Germany?	yes	data/set3/a1

Is Schloss Charlottenburg the largest existing palace in Berlin?	Schloss Charlottenburg is the largest existing palace in Berlin. 	data/set3/a1

Is Schloss Charlottenburg the largest existing palace in Berlin?	yes	data/set3/a1

Which building is the site of the German parliament?	The Reichstag building is the site of the German parliament. 	data/set3/a1

Which building is the site of the German parliament?	The Reichstag building	data/set3/a1

Which two sports events did the Olympiastadion host?	The Olympiastadion hosted the 1936 Summer Olympics and the 2006 FIFA World Cup final. 	data/set3/a1

Which two sports events did the Olympiastadion host?	the 1936 Summer Olympics and the 2006 FIFA World Cup final	data/set3/a1

Where is the Berliner Dom located?	The Berliner Dom is located on the Spree Island across from the site of the Berliner Stadtschloss and adjacent to the Lustgarten.	data/set3/a1

Where is the Berliner Dom located?	on the Spree Island	data/set3/a1

Which Berlin building did architect Norman Foster remodel in the 1990s?	The Reichstag building was remodeled by architect Norman Foster in the 1990s.	data/set3/a1

Which Berlin building did architect Norman Foster remodel in the 1990s?	Reichstag building	data/set3/a1

Why is Vattenfall shifting towards reliance on cleaner, renewable energy sources?	Because burning lignite produces harmful emissions, Vattenfall has announced a commitment to shift towards reliance on cleaner, renewable energy sources.	data/set3/a1

Why is Vattenfall shifting towards reliance on cleaner, renewable energy sources?	Because burning lignite produces harmful emissions	data/set3/a1

What are the names of the two zoos in Berlin?	The two zoos in Berlin are the Zoologischer Garten Berlin and the Tierpark Friedrichsfelde.	data/set3/a1

What are the names of the two zoos in Berlin?	Zoologischer Garten Berlin and Tierpark Friedrichsfelde	data/set3/a1

Is Berlin the headquarters of Springer?	Yes, Berlin is the headquarters of Springer.	data/set3/a1

Is Berlin the headquarters of Springer?	NULL	data/set3/a1

Does the Gendarmenmarkt border the French Cathedral?	Yes, the Gendarmenmarkt borders the French Cathedral.	data/set3/a1

Does the Gendarmenmarkt border the French Cathedral?	NULL	data/set3/a1

Is the Nauen plain north of Berlin?	No, the Nauen plain stretches to the west of Berlin.	data/set3/a1

Is the Nauen plain north of Berlin?	NULL	data/set3/a1

Where is the bust of Queen Nefertiti?	The bust of Queen Nefertiti is in the Altes Museum.	data/set3/a1

Where is the bust of Queen Nefertiti?	NULL	data/set3/a1

Where does the German President live?	The German President lives west of the center, Schloss Bellevue.	data/set3/a1

Where does the German President live?	NULL	data/set3/a1

When did Berlin give up its status as a free Hanseatic city?	In 1451 Berlin gave up its status as a free Hanseatic city.	data/set3/a1

When did Berlin give up its status as a free Hanseatic city?	NULL	data/set3/a1

Which is the busiest airport in Berlin?	Tegel International Airport is the busiest airport in Berlin.	data/set3/a1

Which is the busiest airport in Berlin?	NULL	data/set3/a1

How many occupation zones was Germany divided into after the war?	Germany was divided into four occupation zones after the war.	data/set3/a1

How many occupation zones was Germany divided into after the war?	NULL	data/set3/a1

Where was Popkomm held before moving to Berlin?	Popkomm was held in Cologne before moving to Berlin.	data/set3/a1

Where was Popkomm held before moving to Berlin?	NULL	data/set3/a1

Who was Blaise Pascal's father?	His father, Ã‰tienne Pascal (1588â€“1651), who also had an interest in science and mathematics, was a local judge	data/set4/a4

Who was Blaise Pascal's father?	Ã‰tienne Pascal.	data/set4/a4

Was Pascal a French mathematician?	yes	data/set4/a4

Was Pascal a French mathematician?	Yes.	data/set4/a4

Did Pascal have poor health throughout his life?	yes	data/set4/a4

Did Pascal have poor health throughout his life?	Yes.	data/set4/a4

How old was Pascal when he lost his mother?	at the age of three	data/set4/a4

How old was Pascal when he lost his mother?	3.	data/set4/a4

Who was Pascal's younger sister?	Jacqueline	data/set4/a4

Who was Pascal's younger sister?	Jacqueline.	data/set4/a4

What led Pascal to his religious conversion?	Two basic influences led him to his conversion: sickness and Jansenism	data/set4/a4

What led Pascal to his religious conversion?	sickness and Jansenism	data/set4/a4

How old was Pascal when he died?	39	data/set4/a4

How old was Pascal when he died?	1662-08-19.	data/set4/a4

Did Pascal write about cycloid before 1658?	no	data/set4/a4

Is there a programming language called Pascal?	yes	data/set4/a4

Is there a programming language called Pascal?	Yes.	data/set4/a4

Crowds of believers came to see and kiss the thorn; all of Catholic where acclaimed a miracle?	Paris	data/set4/a4

Wasn't Blaise Pascal a work of Desargues on conic sections?	Yes, it was	data/set4/a4

Who died the next morning?	Pascal.	data/set4/a4

When did his father die?	1651	data/set4/a4

When did his father die?	His father died in 1651.	data/set4/a4

Was he a child prodigy who was educated by his father, a civil servant?	yes	data/set4/a4

Was Pascal's earliest work in the natural and applied sciences where he made important contributions to the construction of mechanical calculators, the study of fluids, and clarified the concepts of pressure and vacuum by generalizing the work of Evangelista Torricelli?	Yes	data/set4/a4

Did Pascal also write in defense of the scientific method?	Yes	data/set4/a4

Do butterflies make sounds?	Some butterflies make sounds.	data/set1/a6

Do butterflies make sounds?	NULL	data/set1/a6

Do butterflies have two eyes?	Yes, butterflies have two eyes.	data/set1/a6

Do butterflies have two eyes?	NULL	data/set1/a6

Does a black moth mean that someone has died?	In the Philippines a black butterfly or moth mean that someone has died.	data/set1/a6

Does a black moth mean that someone has died?	NULL	data/set1/a6

What is the outer layer of the cuticle made of?	The outer layer of the cuticle is made of of a mixture of chitin and specialized proteins.	data/set1/a6

What is the outer layer of the cuticle made of?	NULL	data/set1/a6

Where was there a vast swarm of butterflies?	In Kyoto there was a vast swarm of butterflies.	data/set1/a6

Where was there a vast swarm of butterflies?	NULL	data/set1/a6

What butterfly is migratory?	The Monarch butterfly is migratory.	data/set1/a6

What butterfly is migratory?	NULL	data/set1/a6

Do butterflies carry more pollen than Hymenoptera?	No, butterflies carry less pollen than Hymenoptera.	data/set1/a6

Do butterflies carry more pollen than Hymenoptera?	NULL	data/set1/a6

What allows the butterfly to evade predators?	A butterfly's hind wings allow the butterfly to evade predators.	data/set1/a6

What allows the butterfly to evade predators?	NULL	data/set1/a6

What happens if a wing is removed?	If a ring is removed the other three will grow to a larger size.	data/set1/a6

What happens if a wing is removed?	NULL	data/set1/a6

NULL	NULL	data/set2/a9

NULL	NULL	data/set2/a9

NULL	NULL	data/set2/a9

NULL	NULL	data/set2/a9

NULL	NULL	data/set2/a9

NULL	NULL	data/set2/a9

NULL	NULL	data/set2/a9

NULL	NULL	data/set2/a9

NULL	NULL	data/set2/a9

Was Charles-Augustin de Coulomb a Spanish Biologist?	No.	data/set4/a6

Was Charles-Augustin de Coulomb a Spanish Biologist?	No, he was a French physicist.	data/set4/a6

Was the SI unit of charge named after Charles-Augustin de Coulomb?	Yes.	data/set4/a6

Was the SI unit of charge named after Charles-Augustin de Coulomb?	Yes, the SI unit of charge, the coulomb, was named after him.	data/set4/a6

Was Charles-Augustin de Coulomb ever employed at La Rochelle?	Yes.	data/set4/a6

Was Charles-Augustin de Coulomb ever employed at La Rochelle?	Yes, upon his return to France, with the rank of Captain, he was employed at La Rochelle.	data/set4/a6

What is Charles-Augustin de Coulomb best known for?	He is best known for developing Coulomb's law.	data/set4/a6

What is Charles-Augustin de Coulomb best known for?	He is best known for developing Coulomb's law.	data/set4/a6

Whose ideas inspired Charles-Augustin de Coulomb's experiments on the resistance of masonries?	Pieter van Musschenbroek.	data/set4/a6

Whose ideas inspired Charles-Augustin de Coulomb's experiments on the resistance of masonries?	He carried out several experiments on the resistance of masonries which were inspired by the ideas of Pieter van Musschenbroek on friction.	data/set4/a6

When did Charles-Augustin de Coulomb join his father's family in Montpeillier?	From 1757 to 1759 he joined his father's family in Montpellier.	data/set4/a6

Did Charles-Augustin de Coulomb come from a poor family?	No.	data/set4/a6

Did Charles-Augustin de Coulomb come from a poor family?	No, his mother came from a wealthy family in the wool trade.	data/set4/a6

What is Coulomb's law?	The definition of the electrostatic force of attraction and repulsion.	data/set4/a6

What is Coulomb's law?	The definition of the electrostatic force of attraction and repulsion.	data/set4/a6

Where is Collège des Quatre-Nations located?	In Montpellier.	data/set4/a6

Where is Collège des Quatre-Nations located?	In Paris.	data/set4/a6

What happened in 1785?	Coulomb presented his three reports on Electricity and Magnetism	data/set4/a6

What happened in 1757 to 1759?	Charles-Augustin de Coulomb joined his father's family in Montpellier and took part in the work of the academy of the city.	data/set4/a6

Regarding this topic, what did the Revolution do?	The Revolution caused Coulomb to resign his appointment as intendent des eaux et fontains and retire.	data/set4/a6

Who determined to pursue mathematics?	Charles-Augustin de Coulomb	data/set4/a6

When did Coulomb return to Paris?	In 1759.	data/set4/a6

Does Coulomb leave a legacy as a pioneer in the field of geotechnical engineering for his contribution to retaining wall design?	yes	data/set4/a6

Did the family move to Paris as well as there Coulomb studied at the prestigious Collge des Quatre-Nations?	Yes	data/set4/a6

Was Coulomb born in Angoulme France to a well-to-do family?	Coulomb was born in AngoulÃªme, France, to a well-to-do family	data/set4/a6

Is he best known for developing Coulomb's law, the definition of the electrostatic force of attraction and repulsion?	Yes	data/set4/a6

The SI unit of charge, the coulomb, was named after him?	Yes	data/set4/a6

Did Coulomb die in AngoulÃªme, France, to a well-to-do family?	No	data/set4/a6

Are all spoken varieties of Chinese tonal and analytical?	yes	data/set5/a7

Are all spoken varieties of Chinese tonal and analytical?	yes	data/set5/a7

Is fifty percent or more of Korean vocabulary of Chinese origin?	Yes	data/set5/a7

Is fifty percent or more of Korean vocabulary of Chinese origin?	yes	data/set5/a7

Does "ketchup" come from the Minnan pronunciation of &#39853;&#27713; (koe-tsiap)?	Yes	data/set5/a7

Does "ketchup" come from the Minnan pronunciation of &#39853;&#27713; (koe-tsiap)?	yes	data/set5/a7

What is the most common romanization standard for Standard Mandarin today?	Hanyu Pinyin	data/set5/a7

What is the most common romanization standard for Standard Mandarin today?	Hanyu Pinyin	data/set5/a7

What is the official standard language used by the People's Republic of China, the Republic of China, and Singapore (where it is called "Huayu")?	Putonghua / Guoyu, often called "Mandarin"	data/set5/a7

What is the official standard language used by the People's Republic of China, the Republic of China, and Singapore (where it is called "Huayu")?	Standard Mandarin	data/set5/a7

How many head entries for character definitions does the Zhonghua Zihai &#20013;&#21326;&#23383;&#28023; (1994) contain?	85,568 head entries	data/set5/a7

How many head entries for character definitions does the Zhonghua Zihai &#20013;&#21326;&#23383;&#28023; (1994) contain?	54,678	data/set5/a7

What does the PRC government classify as literacy amongst workers?	knowledge of 2,000 characters	data/set5/a7

What does the PRC government classify as literacy amongst workers?	a knowledge of 2000 characters	data/set5/a7

How is South China linguistically different from North China?	South China displays more linguistic diversity	data/set5/a7

&#20415;&#24403;/&#20415;&#30070; “lunchbox or boxed lunch” (from bento) and &#26009;&#29702; “prepared cuisine” are loan words from which language?	Japanese	data/set5/a7

&#20415;&#24403;/&#20415;&#30070; “lunchbox or boxed lunch” (from bento) and &#26009;&#29702; “prepared cuisine” are loan words from which language?	Chinese	data/set5/a7

What is the standardized form of spoken chinese?	The standardized form of spoken Chinese is Standard Mandarin.	data/set5/a7

What is the standardized form of spoken chinese?	The standardized from of spoken Chinese is Standard Mandarin.	data/set5/a7

Is diglossia a common feature in mainland China and Taiwan?	Yes, diglossia is a common feature in mainland China and Taiwan.	data/set5/a7

Is diglossia a common feature in mainland China and Taiwan?	Yes, diglossia is a common feature in mainland China and Taiwan.	data/set5/a7

Do linguists often view Chinese as a language family?	Yes, linguists often view Chinese as a language family.	data/set5/a7

Do linguists often view Chinese as a language family?	Yes, linguists often view Chinese as a language family.	data/set5/a7

When did classical Chinese literature begin?	Classical Chinese literature began in the Spring and Autumn period.	data/set5/a7

When did classical Chinese literature begin?	Classical Chinese literature began in the 14th to 11th centuires BCE.	data/set5/a7

How does the government of the People's Republic of China often refer to all divisions of the Sinitic language(s) besides Standard Mandarin?	The government of the People's Republic of China refers to all divisions of the Sinitic language(s) besides Standard Mandarin as fangyan.	data/set5/a7

How does the government of the People's Republic of China often refer to all divisions of the Sinitic language(s) besides Standard Mandarin?	The PRC commonly refers to all divisons of the Sinitic language(s) beside Standard Mandarin as fangyan, or "regional tongues."	data/set5/a7

When was Middle Chinese used?	Middle Chinese was used during Southern and Northern Dynasties and the Sua, Tang, and Sang dynasties.	data/set5/a7

When was Middle Chinese used?	Middle Chinese was the language used in the 6th through 1-th centuries CE.	data/set5/a7

How is the pronunciation of foreign words determined?	The pronunciation of foreign words is done by employing Chinese characters with similar pronuncations.	data/set5/a7

How is the pronunciation of foreign words determined?	Foreign words are transliterated into close-match existing Chinese morphemes.	data/set5/a7

What is the total number of Chinese words?	The Hanyu Da Zidian includes 54,678 head entries for characters.	data/set5/a7

What language was used in the Zhou and Southern Dynasties?	Old Chinese was the language common during the early and middle Zhou Dynasty.	data/set5/a7

Is a cougar also known as a mountain lion?	A cougar is also known as a mountain lion.	data/set1/a2

Is a cougar also known as a mountain lion?	yes	data/set1/a2

Are cougars larger than jaguars?	Cougars are not larger than jaguars.	data/set1/a2

Are cougars larger than jaguars?	no	data/set1/a2

Does the World Conservation Union consider the cougar a "least concern" species?	The World Conservation Union (IUCN) currently lists the cougar as a "least concern" species.	data/set1/a2

Does the World Conservation Union consider the cougar a "least concern" species?	yes	data/set1/a2

What are some of the cougar's primary food sources?	The cougar's primary food sources include ungulates such as deer, elk, and bighorn sheep, as well as domestic cattle, horses and sheep, particularly in the northern part of its range.	data/set1/a2

What are some of the cougar's primary food sources?	ungulates such as deer, elk, and bighorn sheep, as well as domestic cattle, horses, and sheep	data/set1/a2

How long are cougar adult males (from nose to tail)?	The length of adult males is around 2.4 meters (8 ft) long nose to tail.	data/set1/a2

How long are cougar adult males (from nose to tail)?	2.4 meters	data/set1/a2

How long is an adult cougar's paw print?	An adult cougar's paw print is approximately 10 cm (4 inches) long.	data/set1/a2

How long is an adult cougar's paw print?	4 inches	data/set1/a2

What are the three heaviest cats in the world?	The three heaviest cats in the world are the tiger, lion and jaguar.	data/set1/a2

What are the three heaviest cats in the world?	tiger, lion, and jaguar	data/set1/a2

On average, are cougar males heavier than females?	On average, cougar males are heavier than females.	data/set1/a2

On average, are cougar males heavier than females?	yes	data/set1/a2

What are the three cat species that are native to Canada?	The three cat species that are native to Canada are the cougar, the bobcat and the Canadian lynx.	data/set1/a2

What are the three cat species that are native to Canada?	cougar, bobcat, Canadian lynx	data/set1/a2

Is one of the parts of a cymbal called a disc?	no	data/set2/a6

Is one of the parts of a cymbal called a disc?	NULL	data/set2/a6

Are ride cymbals very common?	yes	data/set2/a6

Are ride cymbals very common?	NULL	data/set2/a6

Does Fender make cymbals?	no	data/set2/a6

Does Fender make cymbals?	NULL	data/set2/a6

What part of the cymbal is the bell?	The center of a Cymbal	data/set2/a6

What part of the cymbal is the bell?	NULL	data/set2/a6

What's the timber of ancient cimbals like? disfluent	like that of small hand-bells or of the notes of the keyed harmonica	data/set2/a6

What's the timber of ancient cimbals like? disfluent	NULL	data/set2/a6

What does it sound like to play cymbals with a cello bow?	squealing car brakes	data/set2/a6

What does it sound like to play cymbals with a cello bow?	NULL	data/set2/a6

